# 2026 BEAT《托福必考2000词》List 01-30
# 格式：单词 | 音标 | 中文释义 | 词性 | 例句（可选）
# PDF 原文未提供例句，因此例句字段暂留空。

[List 01]
recovery | [rɪˈkʌvəri] | 恢复; 收回; 痊愈; 矫正 | n. |
convey | [kənˈve] | 传递; 运送; 表达 | v. |
mere | [mɪr] | 仅仅, 只不过; 微不足道 | adj. |
novel | [ˈnɑːvl] | 长篇小说；新奇新颖的 | n. adj. |
identity | [aɪˈdɛntɪti] | 身份; 个性 | n. |
worsen | [ˈwɜrsn] | (使) 变得更坏, 恶化 | v. |
exterminate | [ɪkˈstɜːrmɪneɪt] | 消灭; 根除 | vt. |
religion | [rɪˈlɪdʒən] | 宗教; 教派 | n. |
prevalent | [ˈprɛvələnt] | 流行的; 普遍的 | adj. |
educate | [ˈɛdʒəˌket] | 教育, 教导; 培养 | v. |
successor | [səkˈsɛsɚ] | 继承人, 继任者 | n. |
jay | [dʒe] | 松鸦; 多嘴的人 | n. |
dormancy | ['dɔmənsɪ] | 冬眠 | n. |
patron | [ˈpetrən] | 赞助人; 老主顾 | n. |
embed | [ɛmˈbɛd] | 嵌入; 植根于 | v. |
succulent | [ˈsʌkjələnt] | 汁多味美的；肉质植物 | adj. n. |
isthmus | [ˈɪsməs] | 地峡 | n. |
flexible | [ˈflɛksəbəl] | 灵活的; 可弯曲的 | adj. |
publish | [ˈpʌblɪʃ] | 出版, 发行; 发表, 颁布 | v. |
await | [əˈwet] | 等候; 即将发生 | v. |
spray | [spre] | 喷洒; 喷射; 飞溅; 扫射；喷雾; 浪花; 飞沫 | v. n. |
progress | [ˈprɑːɡres] | [prəˈɡres]；进步, 进展, 进程 | v. n. |
ensue | [ɪnˈsu] | 接踵发生 | v. |
violent | [ˈvaɪələnt] | 暴力的; 剧烈的 | adj. |
outdated | [aʊtˈdetɪd] | 过时的, 落伍的 | adj. |
dimension | [dɪˈmɛnʃən] | 尺寸; 次元, 维度 | n. |
bellow | [ˈbeloʊ] | 吼叫, 咆哮；鼓风机 | v. n. |
analyze | [ˈænəˌlaɪz] | 分析; 解释 | v. |
client | [ˈklaɪənt] | 顾客; 当事人 | n. |
aboveground | [ə'bʌvˌgraʊnd] | 在地上 | adv. |
monopoly | [məˈnɑpəli] | 垄断 | n. |
furnace | [ˈfɜrnɪs] | 熔炉, 火炉 | n. |
integral | [ˈɪntɪɡrəl] | 完整的; 基本的; 必须的 | adj. |
minimum | [ˈmɪnəməm] | 最小量；最小最少的 | n. adj. |
fashion | [ˈfæʃən] | 时尚; 方法 | n. |
horizon | [həˈraɪzn] | 水平; 地平线; 眼界见识 | n. |
ingredient | [ɪnˈgridiənt] | 原料; 成分; 要素 | n. |
divert | [daɪˈvɜrt] | 转移; 转向; 转接; 分散 | v. |
advent | [ˈædˌvɛnt] | 出现; 到来 | n. |
pipeline | [ˈpaɪpˌlaɪn] | 管道; 管线 | n. |
capillary | [ˈkæpəleri] | 毛细血管 | n. |
decompose | [ˌdikəmˈpoʊz] | 分解, 腐烂 | v. |
relevant | [ˈreləvənt] | 有关的; 有重要性的 | adj. |
lobe | [loʊb] | 耳垂; 肺叶; 脑叶 | n. |
fossilize | [ˈfɑsəlaɪz] | 石化, 变成化石; 使僵化 | v. |
primate | [ˈpraɪmɪt] | 灵长目动物; 大主教 | n. |
likewise | [ˈlaɪkˌwaɪz] | 同样地; 也 | adv. |
invasion | [ɪnˈveʒən] | 入侵; 大批涌入; [医]发病 | n. |
immature | [ˌɪməˈtʃʊr] | 不成熟的; 鲁莽的 | adj. |
underneath | [ˌʌndərˈniθ] | 在下面；在...之下；底部 | adv. prep. n. |
converse | [kənˈvɜːrs] | [ˈkɑnˌvɜrs]；交谈, 谈话；相反(的) | n. v. adj. |
impoverish | [ɪmˈpɑvərɪʃ] | 使贫穷; 使贫瘠 | vt. |
substantiate | [səbˈstænʃieɪt] | 用事实证明 | v. |
Jurassic | [dʒʊˈræsɪk] | 侏罗纪的；侏罗纪 | adj. n. |
silicon | [ˈsɪlɪkən] | 硅 | n. |
temporal | [ˈtɛmpərəl] | 时间的; 世俗的; 暂存的；暂时的事物; 俗事 | adj. n. |
deepen | [ˈdipən] | 加深; 加剧; 变低沉 | v. |
plausible | [ˈplɔzəbəl] | 似乎真实的; 貌似有理的 | adj. |
generic | [dʒəˈnɛrɪk] | 一般的;普通的; 生物属类的 | adj. |

[List 25]
bevel | ['bevl] | 斜边和斜面 | n. |
descendant | [dɪˈsɛndənt] | 后代; 后裔；派生物 | n. adj. |
slide | [slaɪd] | 滑动; 滑落; 下跌；幻灯片; 滑梯 | v. n. |
vanish | [ˈvænɪʃ] | 消失; 灭绝 | v. |
recognize | [ˌrɛkəɡˈnɪʃən] | 识别; 承认; 赞赏 | v. |
accessible | [ækˈsɛsəbəl] | 易接近的; 可理解的；相处的 | adj. |
dye | [daɪ] | 染料, 染色；给...染色 | n. v. |
instinct | [ˈɪnˌstɪŋkt] | 本能, 天性; 冲动; 天资 | n. |
igneous | [ˈɪɡniəs] | (岩石)火成的 | adj. |
familiarity | [fəˌmɪlˈjærɪti] | 熟悉, 通晓, 亲密 | n. |
warrior | [ˈwɔriə(r)] | 战士, 勇士; 武士 | n. |
extraordinary | [ɪkˈstrɔrdəneri] | 非常的, 特别的, 非凡 | adj. |
mist | [mɪst] | 薄雾 | n. |
percolate | [ˈpɜrkəleɪt] | 渗透; 蔓延 | n. |
plug | [plʌɡ] | 插头; 塞子；塞住堵塞 | n. vt. |
lick | [lɪk] | 舔; 战胜；舔; 少量 | vt. n. |
artifact | [ˈɑrtəˌfækt] | 人工制品; 手工艺品 | n. |
ease | [iz] | 轻松, 舒适; 容易；缓解; 减轻; 松弛 | n. v. |
conflict | [ˈkɑnflɪkt] | 冲突; 战斗; 矛盾；抵触; 争斗 | n. v. |
juxtaposition | [ˌdʒʌkstəpəˈzɪʃən] | 并列; 毗邻 | n. |
sensible | [ˈsɛnsəbəl] | 有感觉的, 明智的 | adj. |
basalt | [bəˈsɔlt] | 玄武岩 | n. |
conquer | [ˈkɑŋkə(r)] | 征服; 克服 | v. |
participate | [pɑrˈtɪsɪpeɪt] | 参加某事 | v. |
adequate | [ˈædɪkwɪt] | 充足的; 适当的; 胜任 | adj. |
coke | [koʊk] | 焦炭 | n. |
Mesoamerica | [ˌmɛzoəˈmɛrɪkə] | 中美洲 | n. |
ingenuity | [ˌɪndʒəˈnuəti] | 足智多谋; 独创性；设计新颖 | n. |
explicit | [ɪkˈsplɪsɪt] | 明确的, 清楚的 | adj. |
coexist | [ˌkoʊɪgˈzɪst] | 同时共存; 共处 | v. |
so-called | [ˈsoˈkɔld] | 所谓的, 号称的 | adj. |
milder | [maildə] | 温柔的; 轻微的; 不浓 | adj. |
theatrical | [θiˈætrɪkəl] | 戏剧的; 夸张的; 做作的；戏剧表演 | adj. n. |
slab | [slæb] | 厚板; 混凝土板 | n. |
speculate | [ˈspekjuleɪt] | 猜想; 推断; 投机 | v. |
topography | [təˈpɑgrəfi] | 地形学; 地貌 | n. |
exotic | [ɪgˈzɑtɪk] | 异国的; 外来的; 奇异 | adj. |
tourism | [ˈtʊrɪzəm] | 旅游; 旅游业 | n. |
chip | [tʃɪp] | 芯片; 碎片; 缺口; 薯片；打破; 凿下 | n. v. |
ion | [ˈaɪən] | 离子 | n. |
cop | [kɑp] | 〈俚〉警察；遭受; 注意到 | n. v. |
millet | [ˈmɪlɪt] | 小米, 粟; 稷 | n. |
diffuse | [dɪˈfjuz] | 散开的; 弥漫的；传播; 舒缓 | adj. v. |
deforest | [ˌdiˈfɔrɪst] | 砍伐森林 | v. |
manganese | [ˈmæŋɡəˌniz] | 锰 | n. |
ignore | [ɪɡˈnɔr] | 忽视 | v. |
alteration | [ˌɔltəˈreʃən] | 改变; 变更 | n. |
mismatch | [mɪsˈmætʃ] | 不匹配;不协调 | v. |
tanker | [ˈtæŋkɚ] | 油罐车; 油轮 | n. |
spill | [spɪl] | 溢出泼出；泄露机密；溢出量 | v. n. |
mercury | [ˈmɜrkjəri] | 汞, 水银 | n. |
cobalt | [ˈkoʊbɔlt] | 钴; 深蓝色 | n. |
collective | [kəˈlɛktɪv] | 集体的; 共同的；集体集团 | adj. n. |
saline | [ˈseɪlin] | 含盐的, 咸的 | adj. |
sodium | [ˈsoʊdiəm] | 钠 | n. |
evergreen | [ˈevərgrin] | 常绿植物 | n. |
compromise | [ˈkɑmprəmaɪz] | 妥协; 折中; 让步 | n. v. |
prone | [proʊn] | 有...倾向; 很可能的 | adj. |
chloride | [ˈklɔrˌaɪd] | 氯化物; 漂白粉 | n. |
ritualize | ['rɪtʃʊrlaɪz] | 使仪式化 | v. |
ounce | [aʊns] | 盎司; 少量一点儿 | n. |
spout | [spaʊt] | 喷嘴; 水柱；喷射; 夸夸其谈 | n. v. |
doorway | [ˈdɔrweɪ] | 出入口 | n. |
arrow | [ˈæroʊ] | 箭头 | n. |
disastrous | [dɪˈzæstrəs] | 灾难性的; 极其糟糕 | adj. |
constrain | [kənˈstreɪn] | 限制; 约束 | n. |
county | [ˈkaʊnti] | 县, 郡 | n. |
nobility | [noʊˈbɪləti] | 贵族; 高尚的品质 | n. |
solitary | [ˈsɑləteri] | 独自的; 单个的 | adj. |
sword | [sɔrd] | 刀剑 | n. |

[List 26]
garment | [ˈgɑrmənt] | 衣服; 服装；给...穿衣服 | n. v. |
windborne | ['wɪndbɔːn] | 靠风传送的 | adj. |
haze | [heɪz] | 雾霭烟雾; 懵懂迷糊 | n. |
delineate | [dɪˈlɪniˌet] | 勾画, 描述 | v. |
pour | ['autpɔ:riŋ] | 倾泄; 连续流出 | v. |
infrared | [ˌɪnfrəˈrɛd] | 红外线的 | adj. |
degrade | [dɪˈɡreɪd] | 降解; 贬低; 降级; 退化 | v. |
snatch | [snætʃ] | 抢; 一阵子; 很小的数量；抢夺 | n. v. |
vagary | [ˈveɡəri] | 奇异多变; 难以预测 | n. |
perish | [ˈpɛrɪʃ] | 死亡; 毁灭; 腐烂; 老化 | v. |
curt | [kə:t] | 简短的; 草率无礼的 | adj. |
receipt | [ri'si:t] | 收据 | n. |
mush | [mʌ∫] | 糊状物; 胆怯；碾碎; 弄烂 | n. v. |
clumsy | ['klʌmzi] | 笨拙的; 难懂的；不便的 | adj. |
embryo | [ˈembrioʊ] | 胚胎；萌芽初期的 | n. adj. |
chew | [t∫u:] | 咀嚼; 咬碎 | n. v. |
cannibal | ['kænibəl] | 同类相食的动物；食人者 | n. |
inscribe | [in'skraib] | 雕刻; 题写 | vt. |
archive | [`ɑ:kaɪv] | 档案; 档案馆; 记录 | n. |
canine | ['keinain] | 犬的; 犬科的；犬齿 | adj. n. |
hallmark | ['hɔ:lmɑ:k] | 检验印记; 质量证明；盖上品质证明印记 | n. v. |
coerce | [koʊˈɜrs] | 强迫; 控制 | v. |
occlude | [ɔ'klu:d] | 堵塞; 阻隔 | v. |
ablaze | [ə'bleiz] | 着火, 发光,；闪耀(的地) | adj. adv. |
etc | [ɪt'sɛtərə] | 以及其他; 等等 | adv. |
jar | [dӡɑ:] | 罐子; 一坛子；令人不安; 使震动 | n. v. |
array | [ə'rei] | 一大批; 数组；排列; 布置 | n. v. |
starve | [stɑ:v] | 挨饿 | v. |
entangle | [in'tæŋɡl] | 缠住; 卷入, 连累 | v. |
bargain | ['bɑ:ɡin] | 便宜货；讨价还价; 谈判 | n. v. |
hospice | ['hɔspis] | 收容所, 救济院 | n. |
filament | ['filəmənt] | 细丝; 丝状物 | n. |
inn | [in] | 小旅馆; 小客栈 | n. |
chest | [t∫est] | 胸部, 胸腔; 大箱子 | n. |
mint | [mint] | 薄荷; 铸币厂；铸币; 创造；崭新的, 完美的 | n. v. adj. |
insure | [ɪnˈʃʊr] | 上保险, 投保 | v. |
insight | [ˈɪnsaɪt] | 洞悉; 洞察力; 深刻见解 | n. |
squid | [skwid] | 乌贼; 鱿鱼 | n. |
shroud | [∫raud] | 覆盖物; 护罩；覆盖; 隐瞒; 保密 | n. vt. |
nuclear | ['nju:kliə] | 原子核的; 原子能的 | adj. |
formidable | ['fɔrmɪdəbl] | 可怕的；令人敬畏的 | adj. |
earn | [ə:n] | 赚得; 获得; 赢得 | v. |
prophecy | ['prɔfisi] | 预言 | n. |
Athenian | [ə`θi:njən] | 雅典人；雅典的,雅典人的 | n. adj. |
fasten | ['fɑ:sn] | 系牢; 固定; 附着; 专注 | v. |
condemn | [kən'dem] | 谴责; 宣判 | v. |
corrupt | [kə'rʌpt] | 堕落的; 贪污的; 腐烂；使腐败; 使堕落; 使腐烂 | adj. v. |
receptive | [rɪ'sɛptɪv] | 有接受力的; 能容纳的 | adj. |
slushy | [`slʌ∫ɪ] | 泥泞的 | adj. |
flyby | [`flaɪbaɪ] | 飞越 | n. |
diverge | [dɪˈvɜːrdʒ] | 分化; 分歧; 偏离 | v. |
plate | [pleit] | 盘子; 平板薄板；车辆牌照 | n. |
convulse | [kənˈvʌlʃən] | 抽搐痉挛; 剧烈抖动 | v. |
discount | ['diskaunt] | 打折出售；减价折扣 | v. n. |
chamber | ['t∫eimbə] | 大房间; 腔体; 议会 | n. |
goodness | ['ɡudnis] | 善良; 美德 | n. |
precaution | [pri'kɔ:∫ən] | 防备; 预防措施 | n. |
inferior | [in'fiəriə] | 低劣的; 下等的；下属; 次品; 晚辈 | adj. n. |
enthusiastic | [ɪnˌθuziˈæstɪk] | 非常感兴趣的; 热心的 | adj. |
vaporize | ['veɪpəraɪz] | 蒸发, 汽化 | v. |
oppress | [əˈpres] | 压迫, 压制; 使苦恼 | v. |
homogeneity | [͵hɔməudӡe'ni:iti] | 同种同质; 均匀一致 | n. |
sporadic | [spə'rædɪk] | 时有时无的；零星分散的 | adj. |
reciprocity | [͵risi'prɔsiti] | 相互性; 相互作用 | n. |
kin | [kin] | 亲戚; 家属 | n. |
saint | [seint] | 圣人; 圣徒 | n. |
shear | [∫iə] | 剪羊毛; 切断 | v. |
flock | [flɔk] | 鸟群; 羊群; 群众；成群结队 | n. v. |
symbolize | ['simbəlaiz] | 象征; 代表 | v. |
rendition | [ren'di∫ən] | 演绎; 给予 | n. |

[List 27]
emanate | ['eməneit] | 散发; 表现出; 散发出 | v. |
thread | [θred] | 细线; 主线; 螺纹；穿成串; 穿针引线 | n. v. |
loom | [lu:m] | 织布机；迫近; 挥之不去 | n. v. |
legend | ['ledӡənd] | 传说; 传奇大师；说明图例 | n. |
ranch | [ræntʃ] | 大牧场大农场 | n. |
detritus | [dɪˈtraɪtəs] | 侵蚀形成的岩屑；残垣断壁 | n. |
oxidize | ['ɔksi͵daiz] | 氧化; 生锈 | v. |
carcass | ['kɑ:kəs] | 尸体; 骨架 | n. |
foreground | ['fɔ:ɡraund] | 前景; 引人注目 | n. |
laborer | [ˈleɪbərər] | 体力劳动者; 工人 | n. |
dune | [du:n] | 沙丘 | n. |
turbidity | [tɜ'bɪdətɪ] | 混浊; 混浊度 | n. |
pelvic | ['pelvik] | 骨盆的 | adj. |
scour | ['skauə] | 冲刷擦亮; 四处搜索 | v. |
feeble | ['fi:bl] | 虚弱的; 牵强的 | adj. |
ax | [æks] | 斧头; 倒闭；削减; 解雇: | n. v. |
bow | [boʊ] | 弯弓; 鞠躬; 屈服于 | n. |
stubby | [ˈstʌbi] | 短粗的;矮壮的 | adj. |
flop | [flɑp] | 猛然落下；彻底失败 | v. n. |
median | [ˈmidiən] | 中位数的; 中间值 | adj. |
requisite | [ˈrɛkwɪzɪt] | 必需品;必要条件；必要的 | n. adj. |
anticipate | [ænˈtɪsəˌpet] | 预料, 预期 | v. |
segregate | [ˈsɛɡrɪˌɡet] | 分开; 隔离 | v. |
trait | [tret] | 特点; 特性 | n. |
buoyancy | [ˈbɔɪənsi] | 浮力; 乐观; 经济繁 | n. |
gamble | ['ɡæmbl] | 赌博; 打赌；下赌注; 冒险 | v. n. |
slim | [slɪm] | 苗条的; 微薄的；减肥 | adj. v. |
powdery | [ˈpaʊdəri] | 粉末状的 | adj. |
glide | [ɡlaɪd] | 滑动; 滑行; 滑音；悄悄地走 | n. |
vice versa | [ˌvaɪs ˈvɜrsə] | 反之亦然 | adv. |
repercussion | [ˌripərˈkʌʃn] | 不良反响; 声光反射 | n. |
allergy | [ˈælərdʒi] | 过敏; 反感 | n. |
ambitious | [æmˈbɪʃəs] | 有雄心的; 有野心；间距的 | adj. |
inevitable | [ɪnˈɛvɪtəbəl] | 不可避免的 | adj. |
beam | [bim] | 横梁; 光线; 笑容；发光发热; 照射 | n. v. |
landform | [ˈlændfɔrm] | 地貌 | n. |
remote | [rɪˈmoʊt] | 遥远的; 偏僻的；微小的 | adj. |
aerodynamic | [ˌeəroʊdaɪ'næmɪk] | 空气动力学的 | adj. |
squeeze | [skwiz] | 挤捏; 榨取 | v. |
droplet | [ˈdrɑplət] | 微滴; 小水珠 | n. |
boom | [bum] | 繁荣; 激增; 隆隆 | n. v. |
incentive | [ɪnˈsɛntɪv] | 动机; 刺激; 奖励 | n. |
humble | [ˈhʌmbəl] | 谦逊的; 简陋的；低下的；轻松打败; 低声下气 | adj. v. |
upcoming | [ˈʌpˌkʌmɪŋ] | 即将来到的 | adj. |
plaster | [ˈplæstə(r)] | 灰泥; 熟石膏；抹灰浆; 贴满 | n. v. |
endeavor | [ɪn'devə] | 尝试; 竭力 | n. v. |
militaristic | [ˌmɪlɪtə'rɪstɪk] | 军国主义的; 黩武 | adj. |
waterfowl | [ˈwɔtərfaʊl] | 水鸟, 水禽 | n. |
synchronize | [ˈsɪŋkrənaɪz] | 使同步 | v. |
broadcast | [ˈbrɔdkæst] | 广播; 散播 | n. v. |
tap | [tæp] | 开发利用; 轻打轻拍；跳踢踏舞；龙头; 阀门 | v. n. |
conversion | [kənˈvɜrʒn] | 转变; 改装物; 兑换 | n. |
onward | [ˈɑnwərd] | 向前,前进 | adj. adv. |
unify | [ˈjunəˌfaɪ] | 联合; 统一 | v. |
typify | [ˈtɪpəˌfaɪ] | 是...典型; 代表 | v. |
collaborate | [kəˈlæbəreɪt] | 合作协作 | v. |
amplify | [ˈæmplɪfaɪ] | 放大, 增强 | v. |
overshadow | [ˌoʊvərˈʃædoʊ] | 使失色; 遮挡 | v. |
triumph | [ˈtraɪəmf] | 非凡的成功; 极大满；获胜 | n. v. |
curve | [kɜrv] | 弧线; 曲线；弯曲;沿曲线运动 | n. v. |
replenish | [rɪˈplɛnɪʃ] | 补充; 装满 | v. |
clothe | [kloʊð] | 给...提供衣服；覆盖; 赋予 | v. |
unprecedented | [ʌnˈprɛsɪˌdɛntɪd] | 前所未有的 | adj. |
bask | [bæsk] | 晒太阳 | v. |
cellular | [ˈsɛljəlɚ] | 细胞的 | adj. |
linguist | [ˈlɪŋɡwɪst] | 语言学家 | n. |
graphically | [ˈɡræfɪklɪ] | 生动地; 轮廓分明地 | adv. |
polish | [ˈpɑlɪʃ] | 擦亮; 改进；擦亮剂;优美精湛 | v. n. |
configuration | [kənˌfɪgjəˈreɪʃn] | 布局, 构造; 配置 | n. |
align | [əˈlaɪn] | 排成一条线; 对准；联合结盟 | v. |

[List 28]
fodder | [ˈfɑdə(r)] | 草料; 素材 | n. |
protein | [ˈproʊtin] | 蛋白质 | n. |
tableware | [ˈteɪblwer] | 餐具 | n. |
leafy | [ˈlifi] | 多叶的, 叶茂的 | adj. |
endow | [ɛnˈdaʊ] | 捐赠, 资助; 赋予 | v. |
entry | [ˈɛntri] | 入场许可; 参加参赛; 输 | n. |
candid | [ˈkændɪd] | 率直的, 坦白的 | adj. |
generalize | ['dʒen(ə)rəlaɪz] | 概括归纳; 推广普及 | v. |
monitor | [ˈmɑnɪtə(r)] | 显示屏; 监控人员；监控; 监听 | n. v. |
sniff | [snɪf] | 用鼻子嗅; 抽鼻子; 鄙视；吸气; 一股气味 | v. n. |
coworker | ['koʊˌwɜkə] | 同事, 合作者 | n. |
built-in | [ˈbɪltˈɪn] | 嵌入的; 内置的 | adj. |
enigmatic | [ˌɛnɪɡˈmætɪk] | 神秘的; 费解的 | adj. |
blink | [blɪŋk] | 眨眼睛; 闪烁; 瞬间 | n. v. |
hibernate | [ˈhaɪbərneɪt] | 冬眠,蛰伏 | v. |
odor | ['oʊdə] | 气味; 名声 | n. |
indefinite | [ɪnˈdɛfənɪt] | 无限期; 不明确的 | adj. |
exterior | [ɪkˈstɪriə(r)] | 外部; 外貌；外面的; 外表的 | n. adj. |
depart | [dɪˈpɑrt] | 离开; 违背; 去世; 离职 | v. |
deviate | [ˈdiviˌet] | 背离, 偏离 | v. |
shun | [ʃʌn] | 避开, 回避 | v. |
hormone | [ˈhɔrmoʊn] | 荷尔蒙, 激素 | n. |
command | [kəˈmænd] | 命令; 指挥; 控制 | n. v. |
lag | [læɡ] | 落后; 赶不上；滞后; 时间差 | v. n. |
allusion | [əˈluʒən] | 暗指; 影射; 典故 | n. |
induce | [ɪnˈdus] | 引诱; 引起; 引产 | v. |
transmit | [trænsˈmɪt] | 传输; 传播; 传染 | v. |
restore | [rɪˈstɔr] | 恢复; 返还; 修复 | v. |
vine | [vaɪn] | 藤本植物; 葡萄树 | n. |
subtle | [ˈsʌtl] | 微妙的; 敏感的; 狡猾；巧妙的 | adj. |
headquarter | [ˈhedkwɔrtər] | 总部; 司令部；设置总部 | n. v. |
pristine | [prɪˈstiːn] | 原始状态的; 纯朴的；新鲜的 | adj. |
fraction | [ˈfrækʃən] | [数]分数; 少量; 片段 | n. |
duplicate | [ˈduplɪkeɪt] | 复制 | v. |
adept | [əˈdɛpt] | 熟练擅长的 | adj. |
notation | [noʊˈteɪʃn] | 音乐数学的符号 | n. |
qualify | [ˈkwɑːlɪfaɪ] | 达标合格; 取得资格 | v. |
etch | [ɛtʃ] | 蚀刻; 铭记 | v. |
approve | [əˈpruv] | 赞成, 同意; 批准 | v. |
conscious | [ˈkɑnʃəs] | 有意识的; 有知觉的 | adj. |
animate | [ˈænəˌmet] | 鼓舞；有生命的 | v. adj. |
patent | [ˈpætnt] | 专利权；显然的；获得专利 | n. adj. vt. |
resurgence | [rɪˈsɜrdʒəns] | 复兴复苏 | n. |
discriminate | [dɪˈskrɪməˌnet] | 区别; 辨别; 歧视 | v. |
apparatus | [ˌæpəˈrætəs] | 器械设备; 机构组织 | n. |
pacifier | [ˈpæsəˌfaɪɚ] | 橡皮奶嘴; 镇静剂 | n. |
heighten | [ˈhaɪtn] | 变高; 增强 | v. |
count | [kaʊnt] | 总数; 计算数字；计算总数; 看做视为 | n. v. |
photographer | [fəˈtɑgrəfə(r)] | 摄影师 | n. |
stack | [stæk] | 一堆; 书架；堆起来; 码放整齐 | n. v. |
mount | [maʊnt] | 攀登; 增加; 安装；山峰; 攀登; 底座 | v. n. |
authenticity | [ˌɔθənˈtɪsətɪ] | 可靠性, 真实性 | n. |
verify | [ˈvɛrəˌfaɪ] | 核实; 证明; 判定 | v. |
backdrop | [ˈbækdrɑp] | 背景幕布; 事件背景 | n. |
differentiate | [ˌdɪfəˈrɛnʃiˌet] | 区分辨别 | v. |
reluctant | [rɪˈlʌktənt] | 不情愿的, 勉强的 | adj. |
gallery | [ˈɡæləri] | 画廊; 边座; 旁听席 | n. |
dial | [ˈdaɪəl] | 钟面表盘; 拨号盘；打电话 | n. v. |
flotation | [floʊˈteɪʃn] | 漂浮 | n. |
smother | [ˈsmʌðɚ] | 使窒息; 抑制 | v. |
cramp | [kræmp] | 痉挛抽筋; 夹子；使痉挛; 夹紧; 限制；难懂的 | n. v. adj. |
pit | [pɪt] | 矿井; 地面的坑；使竞争; 有凹陷 | n. v. |
digest | [daɪˈdʒest] | 消化; 吸收; 领悟 | v. |
carbohydrate | [kɑrboʊhaɪdreɪt] | 碳水化合物 | n. |
inadvertently | [ɪnədˈvɜrtəntli] | 漫不经心, 疏忽地 | adv. |
low-lying | [ˈloˌlaɪɪŋ] | 低洼的 | adj. |
ultraviolet | [ˌʌltrəˈvaɪəlɪt] | 紫外线的 | adj. |
institution | [ˌɪnstɪˈtuʃn] | 机构; 惯例, 制度; 建立 | n. |
notorious | [noʊˈtɔriəs] | 众所周知, 臭名昭著的 | adj. |
stake | [stek] | 木桩; 股份; 重大利益；用木桩支撑分界 | n. v. |

[List 29]
welfare | [ˈwelfer] | 健康; 幸福；福利的 | n. adj. |
fishery | [ˈfɪʃəri] | 渔业; 渔场 | n. |
harbor | [ˈhɑrbɚ] | 海港; 避难所；庇护; 入港停泊 | n. v. |
abolish | [əˈbɑlɪʃ] | 废除; 废止 | v. |
monk | [mʌŋk] | 修道士, 僧侣 | n. |
infect | [ɪnˈfɛkt] | 传染, 感染; 污染 | v. |
agency | [ˈedʒənsi] | 代理; 行政部门 | n. |
posit | [ˈpɑzɪt] | 假定; 假设 | v. |
loose | [lus] | 松动的; 宽松的; 随便；释放; 松开 | adj. v. |
inflate | [ɪnˈflet] | 充气膨胀; 物价高涨 | vt. |
expert | [ˈekspɜrt] | 专家; 行家 | n. |
creature | [ˈkritʃɚ] | 生物; 人 | n. |
paradise | [ˈpærəˌdaɪs] | 天堂; 乐园 | n. |
butterfly | [ˈbʌtərflaɪ] | 蝴蝶 | n. |
pierce | [pɪrs] | 刺穿; 洞察; 打动 | v. |
immune | [ɪˈmjoon] | 免疫的; 不受影响的 | adj. |
defensive | [dɪˈfɛnsɪv] | 防守的; 辩护的; 自卫；守势; 辩护 | adj. n. |
satisfactory | [ˌsætɪsˈfæktəri] | 令人满意的 | adj. |
make-up | [ˈmekˌʌp] | 组成; 天性; 化妆(品) | n. |
cognitive | [ˈkɑgnətɪv] | 认知的 | adj. |
mosquito | [məˈskitoʊ] | 蚊子 | n. |
devastate | [ˈdɛvəˌstet] | 破坏; 毁灭; 蹂躏 | v. |
obstruct | [əbˈstrʌkt] | 阻塞; 阻碍; 阻止 | v. |
primitive | [ˈprɪmɪtɪv] | 原始的; 低等的; 简陋；原始人; 单纯的人 | adj. n. |
detachment | [dɪ'tætʃmənt] | 冷漠; 超然；小分队 | n. |
retire | [rɪˈtaɪərmənt] | 退休; 引退 | v. |
entitle | [ɛnˈtaɪtl] | 给予资格; 授权; 命名 | v. |
comfort | [ˈkʌmfərt] | 安慰; 舒适; 缓和 | n. v. |
lay | [le] | 放置; 铺设; 产卵; 奠定；外行的 | v. adj. |
firm | [ˈfɜrmli] | 公司；坚固的; 坚定的; 忠实 | n. adj. |
champion | ['tʃæmpɪən] | 冠军; 捍卫者；捍卫; 支持 | n. v. |
sharp | [ʃɑrp] | 敏锐的; 锋利的；急剧的；锐利的东西 | adj. adv. n. |
campaign | [kæmˈpen] | 运动; 战役; 竞选运动 | n. |
rebellion | [rɪˈbɛljən] | 谋反,叛乱,反抗 | n. |
envision | [ɛnˈvɪʒən] | 设想; 预想 | vt. |
cling | [klɪŋ] | 抓紧; 黏着; 坚持 | v. |
terminal | [ˈtɜrmɪnl] | 终点站, 终端 | n. |
heterogeneous | [ˌhɛtərəˈdʒiniəs] | 各种各样; 成分混杂 | adj. |
bubble | [ˈbʌbəl] | 气泡; 泡沫；冒泡; 滔滔不绝; 洋溢 | n. v. |
crevice | [ˈkrɛvɪs] | (岩石的) 裂缝缺口 | n. |
consolidate | [kənˈsɑlɪdeɪt] | 合并; 巩固; 统一 | v. |
legitimate | [ləˈdʒɪtəmɪt] | 合理地, 合法的, 正当 | adj. |
cod | [kɑd] | 鳕鱼; 袋, 包；哄骗；骗人的 | n. v. adj. |
blockage | [ˈblɑkɪdʒ] | 堵塞; 妨碍 | n. |
install | [ɪnˈstɔl] | 安装; 安置 | vt. |
empirical | [ɛmˈpɪrɪkəl] | 凭经验的; 经验主义 | adj. |
penchant | [ˈpɛntʃənt] | (强烈的)倾向爱好 | n. |
overtake | [ˌoʊvərˈteɪk] | 超越; 压倒; 突然发生 | v. |
